word,freq,english,german,sound,spell
naːm,1,0,1,1,0
niː,1,0,1,1,0
nɪçt,1,0,1,1,0
oːɐ,1,0,1,1,0
oːpst,1,0,1,1,0
ɔft,1,0,1,1,0
ɔp,1,0,1,1,0
ɔʁt,1,0,1,1,0
plats,1,0,1,1,0
pʊŋkt,1,0,1,1,0
ʁant,1,0,1,1,0
ʁaɔm,1,0,1,1,0
ʁɛçt,1,0,1,1,0
ʁoːɐ,1,0,1,1,0
ʁʊtʃ,1,0,1,1,0
sɛnt,1,0,1,1,0
ʃaʁf,1,0,1,1,0
ʃɛf,1,0,1,1,0
ʃɪf,1,0,1,1,0
ʃlaːf,1,0,1,1,0
ʃlaːk,1,0,1,1,0
ʃneː,1,0,1,1,0
ʃpɛːt,1,0,1,1,0
ʃpuːɐ,1,0,1,1,0
ʃʁaɛ,1,0,1,1,0
ʃtaɛn,1,0,1,1,0
ʃtam,1,0,1,1,0
ʃtant,1,0,1,1,0
ʃtɛʁn,1,0,1,1,0
ʃtɪl,1,0,1,1,0
ʃtɔp,1,0,1,1,0
ʃtuːl,1,0,1,1,0
ʃvants,1,0,1,1,0
ʃvaʁts,1,0,1,1,0
ʃveːɐ,1,0,1,1,0
taːk,1,0,1,1,0
taːl,1,0,1,1,0
tants,1,0,1,1,0
tiːf,1,0,1,1,0
toːt,1,0,1,1,0
tsaːl,1,0,1,1,0
tsaɛt,1,0,1,1,0
tsɛːln,1,0,1,1,0
tsɛnt,1,0,1,1,0
tsɔl,1,0,1,1,0
tsɔʁn,1,0,1,1,0
tsuːk,1,0,1,1,0
tsvaɛ,1,0,1,1,0
tuːn,1,0,1,1,0
tuːt,1,0,1,1,0
tyːɐ,1,0,1,1,0
tyːp,1,0,1,1,0
uːɐ,1,0,1,1,0
ʊns,1,0,1,1,0
ʊnt,1,0,1,1,0
vaɛs,1,0,1,1,0
vaɛt,1,0,1,1,0
valt,1,0,1,1,0
vas,1,0,1,1,0
vɛn,1,0,1,1,0
viː,1,0,1,1,0
vɪnt,1,0,1,1,0
vɪʁt,1,0,1,1,0
voː,1,0,1,1,0
vɔʁt,1,0,1,1,0
zaɛl,1,0,1,1,0
zalts,1,0,1,1,0
zeːɐ,1,0,1,1,0
zɛlpst,1,0,1,1,0
zɪn,1,0,1,1,0
zɪnt,1,0,1,1,0
zɪts,1,0,1,1,0
zoː,1,0,1,1,0
ɐvaʁtn,1,0,1,1,0
baɛde,1,0,1,1,0
baɛʃpiːl,1,0,1,1,0
baɔmvɔle,1,0,1,1,0
bɛsɐ,1,0,1,1,0
bɛste,1,0,1,1,0
beoːbaxtn,1,0,1,1,0
bəɡaɛstɐn,1,0,1,1,0
beɡan,1,0,1,1,0
beɡɪn,1,0,1,1,0
bekaːm,1,0,1,1,0
beʁaɛt,1,0,1,1,0
beʁyːmt,1,0,1,1,0
beʁyːʁen,1,0,1,1,0
betʁaxtn,1,0,1,1,0
bezuːx,1,0,1,1,0
blaɛbm,1,0,1,1,0
bʁɛnen,1,0,1,1,0
bʁuːdɐ,1,0,1,1,0
buːxʃtabiːʁen,1,0,1,1,0
byʁoː,1,0,1,1,0
deːʁen,1,0,1,1,0
dɔplt,1,0,1,1,0
dʊŋkl,1,0,1,1,0
detsimaːl,1,0,1,1,0
diʁɛkt,1,0,1,1,0
dɪskutiːʁen,1,0,1,1,0
dʁaɛɛk,1,0,1,1,0
dʁɪte,1,0,1,1,0
elɛktʁɪʃ,1,0,1,1,0
enɛʁɡiː,1,0,1,1,0
ɛmpfaŋen,1,0,1,1,0
ɛnthaltn,1,0,1,1,0
ɛntvɪkln,1,0,1,1,0
ɛntvʊʁf,1,0,1,1,0
faːtɐ,1,0,1,1,0
faɛɡe,1,0,1,1,0
falte,1,0,1,1,0
fɛːɪç,1,0,1,1,0
fɛnstɐ,1,0,1,1,0
fɪndn,1,0,1,1,0
fɪnɪʃ,1,0,1,1,0
fɪŋɐ,1,0,1,1,0
foːɐʃlaːɡŋ,1,0,1,1,0
foːɐtʁaːk,1,0,1,1,0
foːɐvɛʁts,1,0,1,1,0
foːɡl,1,0,1,1,0
fɔlʃtɛndɪç,1,0,1,1,0
fɔœɐ,1,0,1,1,0
fyːʁen,1,0,1,1,0
fɐanʃtaltʊŋ,1,0,1,1,0
fɐbʁaɛtʊŋ,1,0,1,1,0
fɐɡaŋenhaɛt,1,0,1,1,0
fɐzuːx,1,0,1,1,0
filaɛçt,1,0,1,1,0
finaːle,1,0,1,1,0
foːɐhandn,1,0,1,1,0
fʁaːɡe,1,0,1,1,0
fʁaːɡŋ,1,0,1,1,0
fʁyːlɪŋ,1,0,1,1,0
ɡeːɡŋ,1,0,1,1,0
ɡeːɡŋtaɛl,1,0,1,1,0
ɡəbɪs,1,0,1,1,0
ɡəboːʁen,1,0,1,1,0
ɡədɪçt,1,0,1,1,0
ɡəfaŋen,1,0,1,1,0
ɡəfʊndn,1,0,1,1,0
ɡəmaɛnzaːm,1,0,1,1,0
ɡənaɔ,1,0,1,1,0
ɡənuːk,1,0,1,1,0
ɡəʁaːde,1,0,1,1,0
ɡəʁʊx,1,0,1,1,0
ɡəʃɛft,1,0,1,1,0
ɡəʃʁiːbm,1,0,1,1,0
ɡəʃvɪndɪçkaɛt,1,0,1,1,0
ɡətaːn,1,0,1,1,0
